Source,Destination,Protocol
3.7.13.58,192.168.0.43,6
3.7.13.58,192.168.0.43,6
192.168.0.43,3.7.13.58,6
192.168.0.43,142.250.182.46,17
142.250.182.46,192.168.0.43,17
142.250.182.46,192.168.0.43,17
142.250.182.46,192.168.0.43,17
192.168.0.43,142.250.182.46,17
192.168.0.43,142.250.182.46,17
142.250.182.46,192.168.0.43,17
